work_year,Experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,company_location,company_size
2020,Mid-level,Full-Time,Data SciEntry-leveltist,70000,EUR,79833,DE,DE,L
2020,Senior-level,Full-Time,Machine Learning Developer,260000,USD,260000,JP,JP,S
2020,Senior-level,Full-Time,Data Entry-levelgineer,85000,GBP,109024,GB,GB,M
2020,Mid-level,Full-Time,Data Analyst,20000,USD,20000,HN,HN,S
2020,Senior-level,Full-Time,Machine Learning Developer,150000,USD,150000,US,US,L
2020,Entry-level,Full-Time,Data Analyst,72000,USD,72000,US,US,L
2020,Senior-level,Full-Time,Data SciEntry-leveltist,190000,USD,190000,US,US,S
2020,Mid-level,Full-Time,Data SciEntry-leveltist,11000000,HUF,35735,HU,HU,L
2020,Mid-level,Full-Time,Data Analyst,135000,USD,135000,US,US,L
2020,Senior-level,Full-Time,Data Entry-levelgineer,125000,USD,125000,NZ,NZ,S
2020,Entry-level,Full-Time,Data SciEntry-leveltist,45000,EUR,51321,FR,FR,S
2020,Mid-level,Full-Time,Data SciEntry-leveltist,3000000,INR,40481,IN,IN,L
2020,Entry-level,Full-Time,Data SciEntry-leveltist,35000,EUR,39916,FR,FR,M
2020,Mid-level,Full-Time,Data Analyst,87000,USD,87000,US,US,L
2020,Mid-level,Full-Time,Data Analyst,85000,USD,85000,US,US,L
2020,Mid-level,Full-Time,Data Analyst,8000,USD,8000,PK,PK,L
2020,Entry-level,Full-Time,Data Entry-levelgineer,4450000,JPY,41689,JP,JP,S
2020,Senior-level,Full-Time,Data Entry-levelgineer,100000,EUR,114047,PL,GB,S
2020,Entry-level,Full-Time,Data SciEntry-leveltist,423000,INR,5707,IN,IN,M
2020,Mid-level,Full-Time,Data Entry-levelgineer,56000,USD,56000,PT,US,M
2020,Mid-level,Full-Time,Machine Learning Developer,299000,CNY,43331,CN,CN,M
2020,Mid-level,Full-Time,Data Analyst,450000,INR,6072,IN,IN,L
2020,Senior-level,Full-Time,Data Entry-levelgineer,42000,EUR,47899,GR,GR,L
2020,Mid-level,Full-Time,Data Analyst,98000,USD,98000,US,US,M
2020,Mid-level,Full-Time,Data SciEntry-leveltist,115000,USD,115000,AE,AE,L
2020,Executive-level,Full-Time,Data SciEntry-leveltist,325000,USD,325000,US,US,L
2020,Entry-level,Full-Time,Data SciEntry-leveltist,42000,USD,42000,NL,NL,L
2020,Senior-level,Full-Time,Data Entry-levelgineer,720000,MXN,33511,MX,MX,S
2020,Entry-level,Contract,Data Analyst,100000,USD,100000,US,US,L
2020,Senior-level,Full-Time,Machine Learning Developer,157000,CAD,117104,CA,CA,L
2020,Mid-level,Full-Time,Data Entry-levelgineer,51999,EUR,59303,DE,DE,S
2020,Entry-level,Full-Time,Data Entry-levelgineer,70000,USD,70000,US,US,L
2020,Senior-level,Full-Time,Data SciEntry-leveltist,60000,EUR,68428,GR,US,L
2020,Mid-level,Full-Time,Data SciEntry-leveltist,450000,USD,450000,US,US,M
2020,Mid-level,Full-Time,Data Analyst,41000,EUR,46759,FR,FR,L
2020,Mid-level,Full-Time,Data Entry-levelgineer,65000,EUR,74130,AT,AT,L
2020,Mid-level,Full-Time,Data SciEntry-leveltist,103000,USD,103000,US,US,L
2020,Entry-level,Full-Time,Machine Learning Developer,250000,USD,250000,US,US,L
2020,Entry-level,Full-Time,Data Analyst,10000,USD,10000,NG,NG,S
2020,Entry-level,Full-Time,Machine Learning Developer,138000,USD,138000,US,US,S
2020,Mid-level,Full-Time,Data SciEntry-leveltist,45760,USD,45760,PH,US,S
2020,Executive-level,Full-Time,Data Entry-levelgineer,70000,EUR,79833,ES,ES,L
2020,Mid-level,Full-Time,Machine Learning Developer,44000,EUR,50180,PT,PT,M
2020,Mid-level,Full-Time,Data Entry-levelgineer,106000,USD,106000,US,US,L
2020,Mid-level,Full-Time,Data Entry-levelgineer,88000,GBP,112872,GB,GB,L
2020,Entry-level,Part-Time,Data Entry-levelgineer,14000,EUR,15966,DE,DE,S
2020,Mid-level,Full-Time,Data SciEntry-leveltist,60000,GBP,76958,GB,GB,S
2020,Senior-level,Full-Time,Data Entry-levelgineer,188000,USD,188000,US,US,L
2020,Mid-level,Full-Time,Data SciEntry-leveltist,105000,USD,105000,US,US,L
2020,Mid-level,Full-Time,Data Entry-levelgineer,61500,EUR,70139,FR,FR,L
2020,Entry-level,Full-Time,Data Analyst,450000,INR,6072,IN,IN,S
2020,Entry-level,Full-Time,Data Analyst,91000,USD,91000,US,US,L
2020,Entry-level,Full-Time,Data SciEntry-leveltist,300000,DKK,45896,DK,DK,S
2020,Entry-level,Full-Time,Data Entry-levelgineer,48000,EUR,54742,PK,DE,L
2020,Senior-level,Freelance,Data Entry-levelgineer,60000,USD,60000,RU,US,S
2020,Senior-level,Full-Time,Data SciEntry-leveltist,130000,EUR,148261,DE,DE,M
2020,Mid-level,Full-Time,Data SciEntry-leveltist,34000,EUR,38776,ES,ES,M
2020,Mid-level,Full-Time,Data SciEntry-leveltist,118000,USD,118000,US,US,M
2020,Senior-level,Full-Time,Data SciEntry-leveltist,120000,USD,120000,US,US,L
2020,Mid-level,Full-Time,Data SciEntry-leveltist,138350,USD,138350,US,US,M
2020,Mid-level,Full-Time,Data Entry-levelgineer,110000,USD,110000,US,US,L
2020,Mid-level,Full-Time,Data Entry-levelgineer,130800,USD,130800,ES,US,M
2020,Entry-level,Part-Time,Data SciEntry-leveltist,19000,EUR,21669,IT,IT,S
2020,Senior-level,Full-Time,Data SciEntry-leveltist,412000,USD,412000,US,US,L
2020,Senior-level,Full-Time,Machine Learning Developer,40000,EUR,45618,HR,HR,S
2020,Entry-level,Full-Time,Data SciEntry-leveltist,55000,EUR,62726,DE,DE,S
2020,Entry-level,Full-Time,Data SciEntry-leveltist,43200,EUR,49268,DE,DE,S
2020,Senior-level,Full-Time,Data SciEntry-leveltist,190200,USD,190200,US,US,M
2020,Entry-level,Full-Time,Data SciEntry-leveltist,105000,USD,105000,US,US,S
2020,Senior-level,Full-Time,Data SciEntry-leveltist,80000,EUR,91237,AT,AT,S
2020,Mid-level,Full-Time,Data SciEntry-leveltist,55000,EUR,62726,FR,LU,S
2020,Mid-level,Full-Time,Data SciEntry-leveltist,37000,EUR,42197,FR,FR,S
2021,Entry-level,Full-Time,Data SciEntry-leveltist,60000,GBP,82528,GB,GB,L
2021,Executive-level,Full-Time,Data Analyst,150000,USD,150000,IN,US,L
2021,Executive-level,Full-Time,Data Analyst,235000,USD,235000,US,US,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,45000,EUR,53192,FR,FR,L
2021,Mid-level,Full-Time,Data Analyst,100000,USD,100000,US,US,M
2021,Mid-level,Part-Time,Data SciEntry-leveltist,400000,INR,5409,IN,IN,M
2021,Mid-level,Contract,Data Entry-levelgineer,270000,USD,270000,US,US,L
2021,Entry-level,Full-Time,Data Analyst,80000,USD,80000,US,US,M
2021,Senior-level,Full-Time,Data Analyst,67000,EUR,79197,DE,DE,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,140000,USD,140000,US,US,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,68000,CAD,54238,GB,CA,L
2021,Mid-level,Full-Time,Machine Learning Developer,40000,EUR,47282,ES,ES,S
2021,Executive-level,Full-Time,Data SciEntry-leveltist,130000,EUR,153667,IT,PL,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,110000,PLN,28476,PL,PL,L
2021,Entry-level,Full-Time,Data Analyst,50000,EUR,59102,FR,FR,M
2021,Mid-level,Full-Time,Data Analyst,110000,USD,110000,US,US,L
2021,Senior-level,Full-Time,Data Analyst,170000,USD,170000,US,US,L
2021,Senior-level,Full-Time,Data Analyst,80000,USD,80000,BG,US,S
2021,Senior-level,Full-Time,Data Analyst,75000,EUR,88654,GR,DK,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,65000,EUR,76833,DE,DE,S
2021,Mid-level,Full-Time,Data Analyst,1450000,INR,19609,IN,IN,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,276000,USD,276000,US,US,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,2200000,INR,29751,IN,IN,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,120000,SGD,89294,SG,SG,L
2021,Entry-level,Part-Time,Data SciEntry-leveltist,12000,USD,12000,BR,US,S
2021,Mid-level,Full-Time,Data Analyst,450000,USD,450000,US,US,L
2021,Entry-level,Full-Time,Data Entry-levelgineer,70000,USD,70000,US,US,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,81000,EUR,95746,DE,US,S
2021,Mid-level,Full-Time,Data Analyst,75000,USD,75000,US,US,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,150000,USD,150000,US,US,L
2021,Mid-level,Full-Time,Data Analyst,11000000,HUF,36259,HU,US,L
2021,Mid-level,Full-Time,Data Analyst,62000,USD,62000,US,US,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,73000,USD,73000,US,US,L
2021,Mid-level,Full-Time,Data Analyst,37456,GBP,51519,GB,GB,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,235000,CAD,187442,CA,CA,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,115000,USD,115000,US,US,S
2021,Senior-level,Full-Time,Data Entry-levelgineer,150000,USD,150000,US,US,M
2021,Entry-level,Full-Time,Data Entry-levelgineer,2250000,INR,30428,IN,IN,L
2021,Senior-level,Full-Time,Machine Learning Developer,80000,EUR,94564,DE,DE,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,82500,GBP,113476,GB,GB,M
2021,Senior-level,Full-Time,Data Entry-levelgineer,75000,GBP,103160,GB,GB,S
2021,Entry-level,Part-Time,Data SciEntry-leveltist,12000,USD,12000,PK,US,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,38400,EUR,45391,NL,NL,L
2021,Entry-level,Full-Time,Machine Learning Developer,225000,USD,225000,US,US,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,50000,USD,50000,NG,NG,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,34000,EUR,40189,GR,GR,M
2021,Entry-level,Full-Time,Data Analyst,90000,USD,90000,US,US,S
2021,Mid-level,Full-Time,Data Entry-levelgineer,200000,USD,200000,US,US,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,60000,USD,60000,ES,RO,M
2021,Senior-level,Full-Time,Data Entry-levelgineer,200000,USD,200000,US,US,M
2021,Entry-level,Full-Time,Data Analyst,50000,USD,50000,US,US,M
2021,Entry-level,Full-Time,Data SciEntry-leveltist,80000,GBP,110037,GB,GB,L
2021,Entry-level,Part-Time,Data Analyst,8760,EUR,10354,ES,ES,M
2021,Mid-level,Full-Time,Data SciEntry-leveltist,151000,USD,151000,US,US,L
2021,Senior-level,Full-Time,Machine Learning Developer,120000,USD,120000,US,US,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,700000,INR,9466,IN,IN,S
2021,Entry-level,Full-Time,Machine Learning Developer,20000,USD,20000,IN,IN,S
2021,Senior-level,Full-Time,Data SciEntry-leveltist,3000000,INR,40570,IN,IN,L
2021,Entry-level,Full-Time,Machine Learning Developer,100000,USD,100000,IQ,IQ,S
2021,Entry-level,Full-Time,Data SciEntry-leveltist,42000,EUR,49646,FR,FR,M
2021,Mid-level,Full-Time,Machine Learning Developer,38400,USD,38400,VN,US,M
2021,Senior-level,Full-Time,Data Entry-levelgineer,24000,USD,24000,BR,BR,M
2021,Entry-level,Full-Time,Data SciEntry-leveltist,100000,USD,100000,US,US,S
2021,Mid-level,Full-Time,Data Analyst,90000,USD,90000,US,US,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,7000000,JPY,63711,JP,JP,S
2021,Mid-level,Full-Time,Data Entry-levelgineer,8500000,JPY,77364,JP,JP,S
2021,Senior-level,Full-Time,Data SciEntry-leveltist,220000,USD,220000,US,US,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,80000,USD,80000,US,US,M
2021,Mid-level,Full-Time,Data Analyst,135000,USD,135000,US,US,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,240000,USD,240000,US,US,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,150000,USD,150000,US,US,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,82500,USD,82500,US,US,S
2021,Mid-level,Full-Time,Data Entry-levelgineer,100000,USD,100000,US,US,L
2021,Senior-level,Full-Time,Machine Learning Developer,70000,EUR,82744,BE,BE,M
2021,Mid-level,Full-Time,Data SciEntry-leveltist,53000,EUR,62649,FR,FR,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,90000,USD,90000,US,US,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,153000,USD,153000,US,US,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,160000,USD,160000,BR,US,S
2021,Senior-level,Full-Time,Data SciEntry-leveltist,168000,USD,168000,JP,JP,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,150000,USD,150000,US,US,M
2021,Mid-level,Full-Time,Data SciEntry-leveltist,95000,CAD,75774,CA,CA,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,13400,USD,13400,UA,UA,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,144000,USD,144000,US,US,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,159500,CAD,127221,CA,CA,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,160000,SGD,119059,SG,IL,M
2021,Mid-level,Full-Time,Machine Learning Developer,423000,USD,423000,US,US,L
2021,Senior-level,Full-Time,Data Analyst,120000,USD,120000,US,US,M
2021,Entry-level,Full-Time,Machine Learning Developer,125000,USD,125000,US,US,S
2021,Executive-level,Full-Time,Data Analyst,230000,USD,230000,RU,RU,L
2021,Executive-level,Full-Time,Data SciEntry-leveltist,85000,USD,85000,RU,RU,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,24000,EUR,28369,MT,MT,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,54000,EUR,63831,DE,DE,L
2021,Executive-level,Full-Time,Data SciEntry-leveltist,110000,EUR,130026,DE,DE,M
2021,Senior-level,Full-Time,Data SciEntry-leveltist,165000,USD,165000,US,US,L
2021,Entry-level,Full-Time,Data Entry-levelgineer,80000,USD,80000,US,US,L
2021,Executive-level,Full-Time,Data SciEntry-leveltist,250000,USD,250000,US,US,L
2021,Entry-level,Full-Time,Data Analyst,55000,USD,55000,US,US,S
2021,Mid-level,Full-Time,Data Entry-levelgineer,150000,USD,150000,US,US,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,170000,USD,170000,US,US,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,60000,GBP,82528,GB,GB,L
2021,Entry-level,Full-Time,Data Analyst,60000,USD,60000,US,US,S
2021,Senior-level,Full-Time,Data SciEntry-leveltist,235000,USD,235000,US,US,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,51400,EUR,60757,PT,PT,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,174000,USD,174000,US,US,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,58000,MXN,2859,MX,MX,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,30400000,CLP,40038,CL,CL,L
2021,Entry-level,Full-Time,Machine Learning Developer,81000,USD,81000,US,US,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,420000,INR,5679,IN,US,S
2021,Mid-level,Full-Time,Data Entry-levelgineer,1672000,INR,22611,IN,IN,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,76760,EUR,90734,DE,DE,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,22000,EUR,26005,RO,US,L
2021,Senior-level,Full-Time,Data Analyst,45000,GBP,61896,GB,GB,L
2021,Mid-level,Freelance,Machine Learning Developer,12000,USD,12000,PK,PK,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,4000,USD,4000,IR,IR,M
2021,Senior-level,Full-Time,Data Analyst,50000,USD,50000,VN,GB,M
2021,Executive-level,Full-Time,Data SciEntry-leveltist,59000,EUR,69741,FR,ES,S
2021,Senior-level,Full-Time,Data Entry-levelgineer,65000,EUR,76833,RO,GB,S
2021,Mid-level,Full-Time,Machine Learning Developer,74000,USD,74000,JP,JP,S
2021,Senior-level,Full-Time,Data SciEntry-leveltist,152000,USD,152000,US,FR,L
2021,Entry-level,Full-Time,Machine Learning Developer,21844,USD,21844,CO,CO,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,18000,USD,18000,MD,MD,S
2021,Senior-level,Full-Time,Data SciEntry-leveltist,174000,USD,174000,US,US,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,120500,CAD,96113,CA,CA,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,147000,USD,147000,US,US,L
2021,Entry-level,Full-Time,Data Analyst,9272,USD,9272,KE,KE,S
2021,Senior-level,Full-Time,Machine Learning Developer,1799997,INR,24342,IN,IN,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,4000000,INR,54094,IN,US,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,90000,USD,90000,US,US,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,52000,EUR,61467,DE,AT,M
2021,Senior-level,Full-Time,Machine Learning Developer,195000,USD,195000,US,US,M
2021,Mid-level,Full-Time,Data SciEntry-leveltist,32000,EUR,37825,ES,ES,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,50000,USD,50000,FR,US,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,160000,USD,160000,US,US,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,69600,BRL,12901,BR,BR,S
2021,Senior-level,Full-Time,Machine Learning Developer,200000,USD,200000,US,US,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,165000,USD,165000,US,US,M
2021,Mid-level,Freelance,Data Entry-levelgineer,20000,USD,20000,IT,US,L
2021,Senior-level,Full-Time,Data Analyst,120000,USD,120000,US,US,L
2021,Mid-level,Full-Time,Machine Learning Developer,21000,EUR,24823,SI,SI,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,48000,EUR,56738,FR,FR,S
2021,Mid-level,Full-Time,Data Entry-levelgineer,48000,GBP,66022,HK,GB,S
2021,Entry-level,Full-Time,Data Entry-levelgineer,435000,INR,5882,IN,CH,L
2021,Entry-level,Full-Time,Machine Learning Developer,21000,EUR,24823,DE,DE,M
2021,Senior-level,Full-Time,Data Entry-levelgineer,185000,USD,185000,US,US,L
2021,Entry-level,Part-Time,Data Entry-levelgineer,180000,DKK,28609,DK,DK,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,76760,EUR,90734,DE,DE,L
2021,Mid-level,Full-Time,Machine Learning Developer,75000,EUR,88654,BE,BE,M
2021,Senior-level,Full-Time,Data Analyst,140000,USD,140000,US,US,L
2021,Mid-level,Full-Time,Machine Learning Developer,180000,PLN,46597,PL,PL,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,85000,GBP,116914,GB,GB,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,2500000,INR,33808,IN,IN,M
2021,Mid-level,Full-Time,Data SciEntry-leveltist,40900,GBP,56256,GB,GB,L
2021,Senior-level,Full-Time,Machine Learning Developer,225000,USD,225000,US,CA,L
2021,Executive-level,Contract,Data SciEntry-leveltist,416000,USD,416000,US,US,S
2021,Senior-level,Full-Time,Data SciEntry-leveltist,110000,CAD,87738,CA,CA,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,75000,EUR,88654,DE,DE,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,135000,USD,135000,US,US,L
2021,Senior-level,Full-Time,Data Analyst,90000,CAD,71786,CA,CA,M
2021,Entry-level,Full-Time,Data Entry-levelgineer,1200000,INR,16228,IN,IN,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,256000,USD,256000,US,US,S
2021,Senior-level,Full-Time,Data Entry-levelgineer,200000,USD,200000,US,US,L
2021,Senior-level,Full-Time,Data Analyst,200000,USD,200000,US,US,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,180000,USD,180000,US,US,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,110000,USD,110000,US,US,S
2021,Mid-level,Full-Time,Data SciEntry-leveltist,80000,CAD,63810,CA,CA,M
2021,Mid-level,Full-Time,Data SciEntry-leveltist,39600,EUR,46809,ES,ES,M
2021,Entry-level,Full-Time,Data SciEntry-leveltist,4000,USD,4000,VN,VN,M
2021,Entry-level,Full-Time,Data Entry-levelgineer,1600000,INR,21637,IN,IN,M
2021,Senior-level,Full-Time,Data SciEntry-leveltist,130000,CAD,103691,CA,CA,L
2021,Mid-level,Full-Time,Data Analyst,80000,USD,80000,US,US,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,110000,USD,110000,US,US,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,165000,USD,165000,US,US,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,1335000,INR,18053,IN,AS,S
2021,Mid-level,Full-Time,Data Entry-levelgineer,52500,GBP,72212,GB,GB,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,31000,EUR,36643,FR,FR,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,108000,TRY,12103,TR,TR,M
2021,Senior-level,Full-Time,Data Entry-levelgineer,70000,GBP,96282,GB,GB,L
2021,Senior-level,Full-Time,Data Analyst,170000,USD,170000,US,US,M
2021,Mid-level,Full-Time,Data SciEntry-leveltist,115000,USD,115000,US,US,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,90000,USD,90000,US,US,S
2021,Executive-level,Full-Time,Data Entry-levelgineer,600000,USD,600000,US,US,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,2100000,INR,28399,IN,IN,M
2021,Mid-level,Full-Time,Data Analyst,93000,USD,93000,US,US,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,125000,CAD,99703,CA,CA,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,200000,USD,200000,US,US,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,147000,EUR,173762,DE,DE,M
2021,Senior-level,Full-Time,Machine Learning Developer,185000,USD,185000,US,US,L
2021,Executive-level,Full-Time,Data SciEntry-leveltist,120000,EUR,141846,DE,DE,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,130000,USD,130000,US,US,L
2021,Senior-level,Full-Time,Data Analyst,54000,EUR,63831,DE,DE,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,1250000,INR,16904,IN,IN,S
2021,Senior-level,Full-Time,Machine Learning Developer,4900000,INR,66265,IN,IN,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,21600,EUR,25532,RS,DE,S
2021,Senior-level,Full-Time,Data Entry-levelgineer,160000,USD,160000,PR,US,S
2021,Mid-level,Full-Time,Data Entry-levelgineer,93150,USD,93150,US,US,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,111775,USD,111775,US,US,M
2021,Mid-level,Full-Time,Data Entry-levelgineer,250000,TRY,28016,TR,TR,M
2021,Entry-level,Full-Time,Data Entry-levelgineer,55000,EUR,65013,DE,DE,M
2021,Entry-level,Full-Time,Data Entry-levelgineer,72500,USD,72500,US,US,L
2021,Senior-level,Full-Time,Data Entry-levelgineer,102000,BRL,18907,BR,BR,M
2021,Entry-level,Full-Time,Data SciEntry-leveltist,65000,EUR,76833,DE,DE,L
2021,Entry-level,Full-Time,Machine Learning Developer,85000,USD,85000,NL,DE,S
2021,Senior-level,Full-Time,Data SciEntry-leveltist,65720,EUR,77684,FR,FR,M
2021,Entry-level,Full-Time,Data SciEntry-leveltist,100000,USD,100000,US,US,M
2021,Entry-level,Full-Time,Data SciEntry-leveltist,58000,USD,58000,US,US,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,55000,USD,55000,ES,ES,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,180000,TRY,20171,TR,TR,L
2021,Entry-level,Full-Time,Data Analyst,50000,EUR,59102,LU,LU,L
2021,Mid-level,Full-Time,Data Entry-levelgineer,112000,USD,112000,US,US,L
2021,Entry-level,Full-Time,Data SciEntry-leveltist,100000,USD,100000,JE,CN,L
2021,Mid-level,Part-Time,Data Entry-levelgineer,59000,EUR,69741,NL,NL,L
2021,Senior-level,Contract,Data SciEntry-leveltist,105000,USD,105000,US,US,M
2021,Mid-level,Full-Time,Data SciEntry-leveltist,69999,USD,69999,CZ,CZ,L
2021,Senior-level,Full-Time,Data SciEntry-leveltist,7000000,INR,94665,IN,IN,L
2021,Senior-level,Full-Time,Data Analyst,87000,EUR,102839,SI,SI,L
2021,Mid-level,Full-Time,Data SciEntry-leveltist,109000,USD,109000,US,US,L
2021,Mid-level,Full-Time,Machine Learning Developer,43200,EUR,51064,IT,IT,L
2022,Senior-level,Full-Time,Data Entry-levelgineer,135000,USD,135000,US,US,M
2022,Senior-level,Full-Time,Data Analyst,155000,USD,155000,US,US,M
2022,Senior-level,Full-Time,Data Analyst,120600,USD,120600,US,US,M
2022,Mid-level,Full-Time,Data SciEntry-leveltist,130000,USD,130000,US,US,M
2022,Mid-level,Full-Time,Data SciEntry-leveltist,90000,USD,90000,US,US,M
2022,Mid-level,Full-Time,Data Entry-levelgineer,170000,USD,170000,US,US,M
2022,Mid-level,Full-Time,Data Entry-levelgineer,150000,USD,150000,US,US,M
2022,Senior-level,Full-Time,Data Analyst,102100,USD,102100,US,US,M
2022,Senior-level,Full-Time,Data Analyst,84900,USD,84900,US,US,M
2022,Senior-level,Full-Time,Data SciEntry-leveltist,136620,USD,136620,US,US,M
2022,Senior-level,Full-Time,Data SciEntry-leveltist,99360,USD,99360,US,US,M
2022,Senior-level,Full-Time,Data SciEntry-leveltist,90000,GBP,117789,GB,GB,M
2022,Senior-level,Full-Time,Data SciEntry-leveltist,80000,GBP,104702,GB,GB,M
